text_name;Tara;Marcella;NLTK;Spacy;Flair;start;end;entity_name;rho;link_prob;lon;lat
Syria;FALSE;TRUE;MISSED;TRUE;TRUE;31;36;Syria;0.5525317192077637;0.7532447576522827;38.0;35.0
Armenia;FALSE;TRUE;TRUE;TRUE;MISSED;136;143;Armenia;0.5321511030197144;0.9456886649131776;45.0;40.0
Armenia;TRUE;TRUE;TRUE;TRUE;MISSED;226;233;Kingdom of Armenia (antiquity);0.6013793349266052;0.9456886649131776;;
Bagratuni House;;;;;FALSE;;;;;;;
Prince Ashot;;;FALSE;FALSE;;;;;;;;
Prince;;;FALSE;;;;;;;;;
Vard;FALSE;FALSE;;;;483;487;Vardø (town);0.3149253726005554;0.6298507452011108;31.11055556;70.37027778
Byzantine (emperor);FALSE;FALSE;;;;691;700;Byzantine Empire;0.4572421312332153;0.3722924292087555;;
Vaspurakan;TRUE;TRUE;MISSED;MISSED;TRUE;743;753;Vaspurakan;0.4655172526836395;0.931034505367279;44.0;38.8
Ar'estakoghm;MISSED;MISSED;MISSED;TRUE;TRUE;;;;;;;
Vaspurakan;TRUE;TRUE;MISSED;MISSED;TRUE;827;837;Vaspurakan;0.4655172526836395;0.931034505367279;44.0;38.8
God;;;FALSE;;FALSE;;;;;;;
Arax River;TRUE;TRUE;MISSED;TRUE;TRUE;1327;1337;Aras (river);0.4318181872367859;0.8636363744735718;48.4535;40.0184
Ughaye;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Akor’i;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Naxjawan;MISSED;MISSED;TRUE;TRUE;TRUE;;;;;;;
Armenian (troops);FALSE;FALSE;FALSE;;;1639;1647;Armenia;0.26377665996551514;0.379287987947464;45.0;40.0
Arax River;TRUE;TRUE;MISSED;TRUE;TRUE;1737;1747;Aras (river);0.4318181872367859;0.8636363744735718;48.4535;40.0184
Vardanakert;MISSED;MISSED;TRUE;TRUE;TRUE;;;;;;;
Lord's;FALSE;FALSE;;;FALSE;2671;2677;Lord's Cricket Ground;0.1293920874595642;0.2587841749191284;-0.1727;51.5294
Armenian (forces);;;FALSE;;;;;;;;;
Tachik (troops);;;FALSE;;;;;;;;;
Armenian (troops);;;FALSE;;;;;;;;;
Armenian (forces);;;FALSE;;;;;;;;;
Arabs;FALSE;FALSE;;;;3032;3037;Abbasid Caliphate;0.18927806615829468;0.1986066848039627;;
Arax River;TRUE;TRUE;MISSED;TRUE;TRUE;3400;3410;Aras (river);0.4318181872367859;0.8636363744735718;48.4535;40.0184
Shushan;FALSE;FALSE;;;;3685;3692;Susa;0.2263821065425873;0.3055555522441864;48.25777778;32.19055556
Shushan;FALSE;FALSE;;;;3779;3786;Susa;0.2042120546102524;0.3055555522441864;48.25777778;32.19055556
Ishmaelites;;;FALSE;FALSE;;;;;;;;
caliph;FALSE;FALSE;;;;4095;4101;Fatimid Caliphate;0.4674330055713654;0.6095178127288818;;
al-Malik;FALSE;FALSE;;;;4133;4141;Almaliq, Xinjiang;0.2916666567325592;0.5833333134651184;80.53305556;44.24
Byzantine (emperor);FALSE;FALSE;;;;4310;4319;Byzantine Empire;0.3863554000854492;0.3722924292087555;;
Arabs;FALSE;FALSE;;;;4459;4464;Abbasid Caliphate;0.21219925582408905;0.1986066848039627;;
Smbat;;;FALSE;FALSE;;;;;;;;
Tayk’;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
T’uxark';MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Ishmael;;;FALSE;FALSE;;;;;;;;
Vaspurakan;TRUE;TRUE;TRUE;MISSED;TRUE;4983;4993;Vaspurakan;0.5083698630332947;0.931034505367279;44.0;38.8
Arabs;FALSE;FALSE;;;;5120;5125;Abbasid Caliphate;0.21907177567481995;0.1986066848039627;;
R'shtunik;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Gukank;MISSED;MISSED;MISSED;MISSED;TRUE;;;;;;;
Vaspurakan (area);TRUE;TRUE;MISSED;MISSED;TRUE;5498;5508;Vaspurakan;0.5270001292228699;0.931034505367279;44.0;38.8
Smbat;;;;FALSE;;;;;;;;
Ashot;;;FALSE;;;;;;;;;
Armenian (troops);;;FALSE;;;;;;;;;
Christian ;;;FALSE;;;;;;;;;
Muhammad;;;FALSE;;;;;;;;;
