,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,text_name,start,end,entity_name,rho,link_prob,lon,lat,correct
0,0,0,0,0,Byzantine,46,55,Byzantine Empire,0.4151183068752289,0.3722924292087555,,,False
1,1,1,1,1,Byzantines,137,147,Byzantine Empire,0.3070497214794159,0.3051455914974213,,,True
2,2,2,2,2,Byzantines,349,359,Byzantine Empire,0.2478905916213989,0.3051455914974213,,,True
3,3,3,3,3,Syrian,420,426,Syria,0.2257976979017257,0.13753128051757812,38.0,35.0,False
4,4,4,4,4,Cilicia,427,434,Cilicia,0.6842063665390015,0.7998647689819336,35.48333333,36.86666667,True
5,5,5,5,5,Mysia,450,455,Mysia,0.6555280685424805,1.0,28.5,40.0,True
6,6,6,6,6,Asia Minor,531,541,Anatolia,0.5125585794448853,0.7673410177230835,35.0,39.0,True
7,7,7,7,7,Bithynia,573,581,Bithynia,0.5677891373634338,1.0,31.0,40.5,True
8,8,8,8,8,Sangarius,646,655,Sakarya River,0.4346954524517059,0.7804877758026123,30.6489,41.1264,True
9,9,9,9,9,ios,663,666,Ios (island),0.48002982139587397,0.7374755740165709,25.33333333,36.71666667,False
10,10,10,10,10,Byzantine,673,682,Byzantine Empire,0.4087303280830383,0.3722924292087555,,,False
11,11,11,11,11,Byzantine,1073,1082,Byzantine Empire,0.2572562396526337,0.3722924292087555,,,False
12,12,12,12,12,g103,1223,1227,China National Highway 103,0.1785714328289032,0.3571428656578064,,,False
13,13,13,13,13,Byzantine,1243,1252,Byzantine Empire,0.22183717787265766,0.3722924292087555,,,False
14,14,14,14,14,Byzantine,1495,1504,Byzantine Empire,0.2396826595067978,0.3722924292087555,,,False
15,15,15,15,15,Byzantine,1593,1602,Byzantine Empire,0.2616919279098511,0.3722924292087555,,,False
16,16,16,16,16,Byzantine army,1728,1742,Byzantine Empire,0.2262969613075257,0.4525939226150513,,,False
17,17,17,17,17,Byzantines,2025,2035,Byzantine Empire,0.3050364851951599,0.3051455914974213,,,False
18,18,18,18,18,Byzantine,2231,2240,Byzantine Empire,0.2705333232879639,0.3722924292087555,,,False
19,19,19,19,19,caliph,2500,2506,Fatimid Caliphate,0.4674330055713654,0.6095178127288818,,,False
