,Unnamed: 0,Unnamed: 0.1,text_name,start,end,entity_name,rho,link_prob,lon,lat,correct
0,0,0,Constantinople,45,59,Constantinople,0.5861627459526062,0.7938305735588074,28.95555556,41.01388889,True
1,1,1,Byzantines,113,123,Byzantine Empire,0.2540678381919861,0.3051455914974213,,,False
2,2,2,Byzantine,217,226,Byzantine Empire,0.5049301385879517,0.3722924292087555,,,True
3,3,3,Byzantines,1178,1188,Byzantine Empire,0.21834635734558105,0.3051455914974213,,,True
4,4,4,Galatia,1232,1239,Galatia,0.6113724708557129,1.0,,,True
5,5,5,Amorium,1287,1294,Amorium,0.4416666626930237,0.8833333253860474,31.28916667,39.02055556,True
6,6,6,Armenia,1752,1759,Armenia,0.6259973049163818,0.9456886649131776,45.0,40.0,True
7,7,7,Pontus,1854,1860,Pontus (region),0.44101613759994507,0.6095041036605835,38.0,40.6,True
8,8,8,Koloneia,1888,1896,Koloneia (theme),0.5945974588394165,0.9166666865348816,,,False
9,9,9,Amorium,2157,2164,Amorium,0.4416666626930237,0.8833333253860474,31.28916667,39.02055556,True
